"Energy [MeV]","Nb protons [/MeV]"
1.655000000000000082e-01,8.293547798712217627e+03
1.655000000000000082e-01,8.410496554773340904e+03
1.645000000000000073e-01,8.507160527822161384e+03
1.645000000000000073e-01,8.627060105731065050e+03
1.645000000000000073e-01,8.748590970414237745e+03
1.635000000000000064e-01,8.848054961177358564e+03
1.635000000000000064e-01,8.973328516755304008e+03
1.635000000000000064e-01,9.100229001626468744e+03
1.625000000000000056e-01,9.204053885243803961e+03
1.625000000000000056e-01,9.333859845723223771e+03
1.625000000000000056e-01,9.465288380708634577e+03
1.615000000000000047e-01,9.573403859390697107e+03
1.615000000000000047e-01,9.708525431780677536e+03
1.615000000000000047e-01,9.845265226594488922e+03
1.615000000000000047e-01,9.984432355044049473e+03
1.615000000000000047e-01,1.012521770591744280e+04
1.615000000000000047e-01,1.026843039042658347e+04
1.615000000000000047e-01,1.041326129735955692e+04
1.615000000000000047e-01,1.056051953792827771e+04
1.615000000000000047e-01,1.070939600092082947e+04
1.615000000000000047e-01,1.086069979754913220e+04
1.615000000000000047e-01,1.101362181660126407e+04
1.615000000000000047e-01,1.116978028050106150e+04
1.615000000000000047e-01,1.132674785561277531e+04
1.615000000000000047e-01,1.148695187557215286e+04
1.615000000000000047e-01,1.164877411795536318e+04
1.615000000000000047e-01,1.181383280518623724e+04
1.615000000000000047e-01,1.198050971484094407e+04
1.615000000000000047e-01,1.214961395813139825e+04
1.615000000000000047e-01,1.232114553505760159e+04
1.615000000000000047e-01,1.249510444561955046e+04
1.615000000000000047e-01,1.267149068981725031e+04
1.615000000000000047e-01,1.285030426765069751e+04
1.615000000000000047e-01,1.303154517911989205e+04
1.615000000000000047e-01,1.321521342422483576e+04
1.615000000000000047e-01,1.340211811417744320e+04
1.615000000000000047e-01,1.359145013776579799e+04
1.615000000000000047e-01,1.378320949498990194e+04
1.615000000000000047e-01,1.397739618584975324e+04
1.615000000000000047e-01,1.417481932155727009e+04
1.615000000000000047e-01,1.437547890211245067e+04
1.615000000000000047e-01,1.457775670509146221e+04
1.615000000000000047e-01,1.478408006413005569e+04
1.615000000000000047e-01,1.499283075680439651e+04
1.615000000000000047e-01,1.520400878311448469e+04
1.615000000000000047e-01,1.541842325427223841e+04
1.615000000000000047e-01,1.563688328148957044e+04
1.615000000000000047e-01,1.585696153113073706e+04
1.615000000000000047e-01,1.608108533683148198e+04
1.615000000000000047e-01,1.630844558737989246e+04
1.615000000000000047e-01,1.653823317156405028e+04
1.615000000000000047e-01,1.677206631180779004e+04
1.615000000000000047e-01,1.700832678568727351e+04
1.615000000000000047e-01,1.724863281562634074e+04
1.615000000000000047e-01,1.749217529041307353e+04
1.615000000000000047e-01,1.773895421004746822e+04
1.615000000000000047e-01,1.798977868574144304e+04
1.615000000000000047e-01,1.824303049507116521e+04
1.615000000000000047e-01,1.850113697167238570e+04
1.615000000000000047e-01,1.876247989312127174e+04
1.615000000000000047e-01,1.902705925941781970e+04
1.615000000000000047e-01,1.929568418177394778e+04
1.615000000000000047e-01,1.956754554897773778e+04
1.615000000000000047e-01,1.984426158345302974e+04
1.615000000000000047e-01,2.012421406277597998e+04
1.615000000000000047e-01,2.040821209815851398e+04
1.615000000000000047e-01,2.069625568960062810e+04
1.615000000000000047e-01,2.098834483710232234e+04
1.615000000000000047e-01,2.128528865187551128e+04
1.615000000000000047e-01,2.158546891149636576e+04
1.615000000000000047e-01,2.189050383838871858e+04
1.615000000000000047e-01,2.219877521012873331e+04
1.615000000000000047e-01,2.251271036035216093e+04
1.615000000000000047e-01,2.283069106663516504e+04
1.615000000000000047e-01,2.315271732897775291e+04
1.615000000000000047e-01,2.347959825859183911e+04
1.615000000000000047e-01,2.381052474426550179e+04
1.615000000000000047e-01,2.414711500842257738e+04
1.615000000000000047e-01,2.448775082863923672e+04
1.615000000000000047e-01,2.483324131612739075e+04
1.615000000000000047e-01,2.518439558209895404e+04
1.615000000000000047e-01,2.553959540413010109e+04
1.615000000000000047e-01,2.590045900464465740e+04
1.615000000000000047e-01,2.626617727243071204e+04
1.615000000000000047e-01,2.663675020748826500e+04
1.615000000000000047e-01,2.701298692102922723e+04
1.615000000000000047e-01,2.739407830184168415e+04
1.615000000000000047e-01,2.778083346113755761e+04
1.615000000000000047e-01,2.817244328770492575e+04
1.615000000000000047e-01,2.857052600396762136e+04
1.613999999999999879e-01,2.896567387356396648e+04
1.613999999999999879e-01,2.937497407686546285e+04
1.613999999999999879e-01,2.978993653594385978e+04
1.613999999999999879e-01,3.021056125079915364e+04
1.613999999999999879e-01,3.063684822143134807e+04
1.613999999999999879e-01,3.106879744784043942e+04
1.613999999999999879e-01,3.150802671739125799e+04
1.613999999999999879e-01,3.195210934903656016e+04
1.613999999999999879e-01,3.240347202382358955e+04
1.613999999999999879e-01,3.286130584806992556e+04
1.613999999999999879e-01,3.332480192809316941e+04
1.613999999999999879e-01,3.379557805125813320e+04
1.613999999999999879e-01,3.427201643019999756e+04
1.613999999999999879e-01,3.475654374596599519e+04
1.613999999999999879e-01,3.524673331750890065e+04
1.613999999999999879e-01,3.574420293219352607e+04
1.613999999999999879e-01,3.624895259001987870e+04
1.613999999999999879e-01,3.676098229098796583e+04
1.613999999999999879e-01,3.727948314141535229e+04
1.613999999999999879e-01,3.780607292866688658e+04
1.613999999999999879e-01,3.833994275906014809e+04
1.613999999999999879e-01,3.888109263259512954e+04
1.613999999999999879e-01,3.942952254927184549e+04
1.613999999999999879e-01,3.998604140277269471e+04
1.613999999999999879e-01,4.055064919309769175e+04
1.613999999999999879e-01,4.112334592024682206e+04
1.613999999999999879e-01,4.170332269053767959e+04
1.613999999999999879e-01,4.229219729133509099e+04
1.613999999999999879e-01,4.288916082895664294e+04
1.613999999999999879e-01,4.349502219708475604e+04
1.613999999999999879e-01,4.410897250203700241e+04
1.613999999999999879e-01,4.473182063749580266e+04
1.613999999999999879e-01,4.536275770977874345e+04
1.613999999999999879e-01,4.600340150625065871e+04
1.613999999999999879e-01,4.665294313322912058e+04
1.613999999999999879e-01,4.731138259071414359e+04
1.613999999999999879e-01,4.797952877238813380e+04
1.613999999999999879e-01,4.865657278456867061e+04
1.613999999999999879e-01,4.934332352093818190e+04
1.613999999999999879e-01,5.003978098149666039e+04
1.613999999999999879e-01,5.074675405992652668e+04
1.613999999999999879e-01,5.146262496886293957e+04
1.613999999999999879e-01,5.218901149567074026e+04
1.613999999999999879e-01,5.292591364034992148e+04
1.613999999999999879e-01,5.367333140290048323e+04
1.613999999999999879e-01,5.443045588964001217e+04
1.613999999999999879e-01,5.519890488793334225e+04
1.613999999999999879e-01,5.597867839778046618e+04
1.613999999999999879e-01,5.676896752549897064e+04
1.613999999999999879e-01,5.756977227108885563e+04
1.613999999999999879e-01,5.838271042191495508e+04
1.613999999999999879e-01,5.920697308429485565e+04
1.613999999999999879e-01,6.004256025822854281e+04
1.613999999999999879e-01,6.089028083739844442e+04
1.613999999999999879e-01,6.175013482180456049e+04
1.613999999999999879e-01,6.262131331776447041e+04
1.613999999999999879e-01,6.350543411264300084e+04
1.613999999999999879e-01,6.440168831275774573e+04
1.613999999999999879e-01,6.531088481179111841e+04
1.613999999999999879e-01,6.623302360974310432e+04
1.613999999999999879e-01,6.716810470661372528e+04
1.613999999999999879e-01,6.811612810240297404e+04
1.613999999999999879e-01,6.907790269079324207e+04
1.613999999999999879e-01,7.005261957810215245e+04
1.613999999999999879e-01,7.104189655169451726e+04
1.613999999999999879e-01,7.204492471788790135e+04
1.613999999999999879e-01,7.306170407668234839e+04
1.613999999999999879e-01,7.409304352176023531e+04
1.613999999999999879e-01,7.513894305312156212e+04
1.613999999999999879e-01,7.619940267076635791e+04
1.613999999999999879e-01,7.727523126837701420e+04
1.613999999999999879e-01,7.836642884595354553e+04
1.613999999999999879e-01,7.947299540349593735e+04
1.613999999999999879e-01,8.059412204732178361e+04
1.613999999999999879e-01,8.173061767111349036e+04
1.613999999999999879e-01,8.288733563696555211e+04
1.613999999999999879e-01,8.405214253964174713e+04
1.613999999999999879e-01,8.524121625279037107e+04
1.613999999999999879e-01,8.644646783958727610e+04
