"Energy [MeV]","Nb protons [/MeV/sr]"
0.1655,1.0141e5
0.1655,1.0284e5
0.1645,1.043e5
0.1645,1.0577e5
0.1645,1.0726e5
0.1635,1.0877e5
0.1635,1.1031e5
0.1635,1.1187e5
0.1625,1.1345e5
0.1625,1.1505e5
0.1625,1.1667e5
0.1615,1.1832e5
0.1615,1.1999e5
0.1615,1.2168e5
0.1615,1.234e5
0.1615,1.2514e5
0.1615,1.2691e5
0.1615,1.287e5
0.1615,1.3052e5
0.1615,1.3236e5
0.1615,1.3423e5
0.1615,1.3612e5
0.1615,1.3805e5
0.1615,1.3999e5
0.1615,1.4197e5
0.1615,1.4397e5
0.1615,1.4601e5
0.1615,1.4807e5
0.1615,1.5016e5
0.1615,1.5228e5
0.1615,1.5443e5
0.1615,1.5661e5
0.1615,1.5882e5
0.1615,1.6106e5
0.1615,1.6333e5
0.1615,1.6564e5
0.1615,1.6798e5
0.1615,1.7035e5
0.1615,1.7275e5
0.1615,1.7519e5
0.1615,1.7767e5
0.1615,1.8017e5
0.1615,1.8272e5
0.1615,1.853e5
0.1615,1.8791e5
0.1615,1.9056e5
0.1615,1.9326e5
0.1615,1.9598e5
0.1615,1.9875e5
0.1615,2.0156e5
0.1615,2.044e5
0.1615,2.0729e5
0.1615,2.1021e5
0.1615,2.1318e5
0.1615,2.1619e5
0.1615,2.1924e5
0.1615,2.2234e5
0.1615,2.2547e5
0.1615,2.2866e5
0.1615,2.3189e5
0.1615,2.3516e5
0.1615,2.3848e5
0.1615,2.4184e5
0.1615,2.4526e5
0.1615,2.4872e5
0.1615,2.5223e5
0.1615,2.5579e5
0.1615,2.594e5
0.1615,2.6307e5
0.1615,2.6678e5
0.1615,2.7055e5
0.1615,2.7436e5
0.1615,2.7824e5
0.1615,2.8217e5
0.1615,2.8615e5
0.1615,2.9019e5
0.1615,2.9428e5
0.1615,2.9844e5
0.1615,3.0265e5
0.1615,3.0692e5
0.1615,3.1126e5
0.1615,3.1565e5
0.1615,3.2011e5
0.1615,3.2463e5
0.1615,3.2921e5
0.1615,3.3386e5
0.1615,3.3857e5
0.1615,3.4335e5
0.1615,3.4819e5
0.1615,3.5311e5
0.1614,3.5809e5
0.1614,3.6315e5
0.1614,3.6828e5
0.1614,3.7348e5
0.1614,3.7875e5
0.1614,3.8409e5
0.1614,3.8952e5
0.1614,3.9501e5
0.1614,4.0059e5
0.1614,4.0625e5
0.1614,4.1198e5
0.1614,4.178e5
0.1614,4.2369e5
0.1614,4.2968e5
0.1614,4.3574e5
0.1614,4.4189e5
0.1614,4.4813e5
0.1614,4.5446e5
0.1614,4.6087e5
0.1614,4.6738e5
0.1614,4.7398e5
